info face="Tempus Sans ITC" size=32 bold=0 italic=0 charset="" unicode=1 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=1,1 outline=0
common lineHeight=32 base=24 scaleW=256 scaleH=256 pages=1 packed=0 alphaChnl=1 redChnl=0 greenChnl=0 blueChnl=0
page id=0 file="Tempus Sans_0.tga"
chars count=99
char id=32   x=41    y=24    width=3     height=1     xoffset=-1    yoffset=31    xadvance=6     page=0  chnl=15
char id=33   x=195   y=20    width=4     height=18    xoffset=2     yoffset=6     xadvance=8     page=0  chnl=15
char id=34   x=148   y=75    width=9     height=7     xoffset=2     yoffset=7     xadvance=9     page=0  chnl=15
char id=35   x=188   y=39    width=16    height=17    xoffset=0     yoffset=7     xadvance=16    page=0  chnl=15
char id=36   x=0     y=0     width=9     height=27    xoffset=0     yoffset=2     xadvance=10    page=0  chnl=15
char id=37   x=81    y=22    width=14    height=18    xoffset=1     yoffset=7     xadvance=15    page=0  chnl=15
char id=38   x=172   y=0     width=18    height=19    xoffset=0     yoffset=7     xadvance=18    page=0  chnl=15
char id=39   x=158   y=73    width=5     height=7     xoffset=2     yoffset=7     xadvance=6     page=0  chnl=15
char id=40   x=37    y=26    width=10    height=19    xoffset=1     yoffset=6     xadvance=11    page=0  chnl=15
char id=41   x=129   y=0     width=7     height=20    xoffset=2     yoffset=6     xadvance=11    page=0  chnl=15
char id=42   x=164   y=71    width=8     height=6     xoffset=0     yoffset=7     xadvance=8     page=0  chnl=15
char id=43   x=74    y=79    width=11    height=10    xoffset=1     yoffset=11    xadvance=12    page=0  chnl=15
char id=44   x=173   y=71    width=5     height=6     xoffset=0     yoffset=22    xadvance=6     page=0  chnl=15
char id=45   x=48    y=43    width=11    height=2     xoffset=0     yoffset=17    xadvance=12    page=0  chnl=15
char id=46   x=62    y=61    width=4     height=2     xoffset=1     yoffset=22    xadvance=6     page=0  chnl=15
char id=47   x=13    y=27    width=12    height=19    xoffset=0     yoffset=6     xadvance=12    page=0  chnl=15
char id=48   x=118   y=40    width=17    height=17    xoffset=0     yoffset=7     xadvance=16    page=0  chnl=15
char id=49   x=246   y=0     width=9     height=18    xoffset=-1    yoffset=6     xadvance=9     page=0  chnl=15
char id=50   x=0     y=66    width=14    height=17    xoffset=0     yoffset=7     xadvance=14    page=0  chnl=15
char id=51   x=95    y=59    width=12    height=17    xoffset=0     yoffset=7     xadvance=12    page=0  chnl=15
char id=52   x=111   y=21    width=14    height=18    xoffset=0     yoffset=6     xadvance=14    page=0  chnl=15
char id=53   x=69    y=61    width=12    height=17    xoffset=0     yoffset=7     xadvance=12    page=0  chnl=15
char id=54   x=154   y=20    width=11    height=18    xoffset=0     yoffset=6     xadvance=12    page=0  chnl=15
char id=55   x=126   y=21    width=13    height=18    xoffset=0     yoffset=7     xadvance=12    page=0  chnl=15
