KEY;ENGLISH;CHINESE
1;I don't like to be alone;
1;But nobody wants to be my friend;
2;;
;;
3;I have got used to this lonely life;
4;;
5;When I drop;
;;
5;nobody lift me up;
;;
6;When I am hurt;
6;nobody take care of me;
;;
;;
7;They just say;
;;
8;You deserve it, monster;
;;
9;Get out of here;
9;You are not welcome;
;;
10;I'm sorry;
10;I cannot stay with you;
;;
;;
;;
11;Don't wait;
11;Nobody will come;
;;
12;The sky is not for you;
;;
13;Don't follow us;
13;We don't know how to let you fly;
;;
14;To them, I'm strange;
14;because I cannot fly;
;;
15;But I am a bird;
15;I will prove myself;
;;
16;I;
17;CAN;
18;FLY;
